Previous_Crop,Soil_Type,State,Recommended_Crop,Alternative_Crop,Reason
Black Gram,Laterite,Uttar Pradesh,Sugarcane,Maize,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,West Bengal,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Potato,Red,Odisha,Cowpea,Groundnut,Legume-based nutrient restoration and pest cycle break
Potato,Clayey,West Bengal,Soybean,Black Gram,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Clayey,Maharashtra,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,West Bengal,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Cotton,Black,West Bengal,Groundnut,Black Gram,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,Odisha,Mustard,Cotton,Legume-based nutrient restoration and pest cycle break
Wheat,Black,West Bengal,Groundnut,Soybean,Legume-based nutrient restoration and pest cycle break
Potato,Laterite,Punjab,Cowpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Rice,Clayey,Maharashtra,Lentil,Soybean,Legume-based nutrient restoration and pest cycle break
Mustard,Alluvial,Maharashtra,Chickpea,Lentil,Legume-based nutrient restoration and pest cycle break
Maize,Clayey,Tamil Nadu,Soybean,Black Gram,Legume-based nutrient restoration and pest cycle break
Cotton,Clayey,Uttar Pradesh,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Soybean,Red,Odisha,Sugarcane,Maize,Legume-based nutrient restoration and pest cycle break
Chickpea,Alluvial,Tamil Nadu,Mustard,Wheat,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Punjab,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Sugarcane,Black,Punjab,Green Gram,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Sugarcane,Black,Maharashtra,Pigeon Pea,Soybean,Legume-based nutrient restoration and pest cycle break
Cowpea,Black,West Bengal,Sugarcane,Maize,Legume-based nutrient restoration and pest cycle break
Groundnut,Laterite,West Bengal,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,Tamil Nadu,Potato,Rice,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,Odisha,Rice,Sugarcane,Legume-based nutrient restoration and pest cycle break
Cowpea,Sandy,Odisha,Mustard,Cotton,Legume-based nutrient restoration and pest cycle break
Green Gram,Sandy,West Bengal,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Lentil,Laterite,Maharashtra,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,West Bengal,Green Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Wheat,Red,Maharashtra,Cowpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Cotton,Clayey,Uttar Pradesh,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Wheat,Clayey,Odisha,Chickpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Rice,Clayey,Punjab,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,Punjab,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Mustard,Laterite,Punjab,Groundnut,Wheat,Legume-based nutrient restoration and pest cycle break
Maize,Red,Uttar Pradesh,Pigeon Pea,Cowpea,Legume-based nutrient restoration and pest cycle break
Maize,Sandy,Odisha,Black Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Green Gram,Alluvial,Uttar Pradesh,Cotton,Mustard,Legume-based nutrient restoration and pest cycle break
Cowpea,Sandy,Maharashtra,Mustard,Cotton,Legume-based nutrient restoration and pest cycle break
Potato,Black,Uttar Pradesh,Pigeon Pea,Groundnut,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,West Bengal,Maize,Potato,Legume-based nutrient restoration and pest cycle break
Chickpea,Alluvial,Maharashtra,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,West Bengal,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Soybean,Clayey,Punjab,Wheat,Potato,Legume-based nutrient restoration and pest cycle break
Mustard,Black,Punjab,Rice,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Cotton,Sandy,West Bengal,Lentil,Green Gram,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,West Bengal,Rice,Sugarcane,Legume-based nutrient restoration and pest cycle break
Cotton,Sandy,Tamil Nadu,Black Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Rice,Black,Tamil Nadu,Soybean,Green Gram,Legume-based nutrient restoration and pest cycle break
Cotton,Black,Punjab,Pigeon Pea,Green Gram,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,Tamil Nadu,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Lentil,Sandy,Tamil Nadu,Wheat,Mustard,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Red,Uttar Pradesh,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Cotton,Black,Maharashtra,Groundnut,Soybean,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,Uttar Pradesh,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Cowpea,Sandy,Tamil Nadu,Mustard,Wheat,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,Tamil Nadu,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Sunflower,Red,Tamil Nadu,Groundnut,Cowpea,Legume-based nutrient restoration and pest cycle break
Groundnut,Alluvial,Maharashtra,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Sunflower,Red,Uttar Pradesh,Pigeon Pea,Rice,Legume-based nutrient restoration and pest cycle break
Sunflower,Clayey,West Bengal,Green Gram,Rice,Legume-based nutrient restoration and pest cycle break
Sugarcane,Sandy,Uttar Pradesh,Green Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Alluvial,Punjab,Rice,Mustard,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,Tamil Nadu,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Cotton,Alluvial,West Bengal,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Maize,Black,Odisha,Groundnut,Soybean,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,West Bengal,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Groundnut,Alluvial,Punjab,Cotton,Mustard,Legume-based nutrient restoration and pest cycle break
Soybean,Clayey,Odisha,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Alluvial,Odisha,Mustard,Wheat,Legume-based nutrient restoration and pest cycle break
Cotton,Laterite,Maharashtra,Chickpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,Uttar Pradesh,Mustard,Maize,Legume-based nutrient restoration and pest cycle break
Sugarcane,Red,Tamil Nadu,Cowpea,Groundnut,Legume-based nutrient restoration and pest cycle break
Potato,Laterite,Punjab,Cowpea,Chickpea,Legume-based nutrient restoration and pest cycle break
Cowpea,Laterite,Odisha,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,Uttar Pradesh,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Sunflower,Red,Punjab,Maize,Cowpea,Legume-based nutrient restoration and pest cycle break
Sunflower,Sandy,Tamil Nadu,Mustard,Rice,Legume-based nutrient restoration and pest cycle break
Green Gram,Laterite,Odisha,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,Tamil Nadu,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Lentil,Sandy,Uttar Pradesh,Maize,Mustard,Legume-based nutrient restoration and pest cycle break
Rice,Laterite,Odisha,Cowpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Sandy,West Bengal,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Lentil,Sandy,Maharashtra,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Mustard,Alluvial,West Bengal,Chickpea,Rice,Legume-based nutrient restoration and pest cycle break
Chickpea,Alluvial,Punjab,Cotton,Mustard,Legume-based nutrient restoration and pest cycle break
Green Gram,Alluvial,Punjab,Cotton,Mustard,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,West Bengal,Potato,Rice,Legume-based nutrient restoration and pest cycle break
Maize,Sandy,Punjab,Cowpea,Lentil,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Clayey,Tamil Nadu,Potato,Rice,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Red,Punjab,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Mustard,Clayey,Punjab,Black Gram,Potato,Legume-based nutrient restoration and pest cycle break
Groundnut,Black,Odisha,Cotton,Sugarcane,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,Uttar Pradesh,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Groundnut,Red,West Bengal,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Clayey,Punjab,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,West Bengal,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Cotton,Black,Odisha,Groundnut,Green Gram,Legume-based nutrient restoration and pest cycle break
Maize,Sandy,Odisha,Cowpea,Chickpea,Legume-based nutrient restoration and pest cycle break
Sugarcane,Alluvial,Odisha,Black Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Lentil,Clayey,Odisha,Cotton,Potato,Legume-based nutrient restoration and pest cycle break
Sunflower,Sandy,Punjab,Green Gram,Mustard,Legume-based nutrient restoration and pest cycle break
Lentil,Red,Punjab,Sugarcane,Rice,Legume-based nutrient restoration and pest cycle break
Lentil,Red,Uttar Pradesh,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Green Gram,Alluvial,West Bengal,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Cotton,Alluvial,Tamil Nadu,Soybean,Black Gram,Legume-based nutrient restoration and pest cycle break
Cotton,Sandy,Maharashtra,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Rice,Alluvial,Uttar Pradesh,Black Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,West Bengal,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Sunflower,Black,West Bengal,Groundnut,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Green Gram,Alluvial,Tamil Nadu,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Cotton,Sandy,Tamil Nadu,Chickpea,Lentil,Legume-based nutrient restoration and pest cycle break
Potato,Sandy,Uttar Pradesh,Cowpea,Lentil,Legume-based nutrient restoration and pest cycle break
Rice,Black,Uttar Pradesh,Green Gram,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Cowpea,Clayey,Uttar Pradesh,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Alluvial,West Bengal,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Soybean,Laterite,West Bengal,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Maharashtra,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Cotton,Clayey,Uttar Pradesh,Green Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Green Gram,Clayey,Punjab,Wheat,Potato,Legume-based nutrient restoration and pest cycle break
Lentil,Alluvial,Uttar Pradesh,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Green Gram,Laterite,Odisha,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Sunflower,Black,Maharashtra,Groundnut,Soybean,Legume-based nutrient restoration and pest cycle break
Lentil,Alluvial,Uttar Pradesh,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,Uttar Pradesh,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Soybean,Red,Punjab,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Chickpea,Sandy,West Bengal,Mustard,Rice,Legume-based nutrient restoration and pest cycle break
Lentil,Laterite,Maharashtra,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Groundnut,Black,Maharashtra,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Sugarcane,Clayey,Tamil Nadu,Soybean,Green Gram,Legume-based nutrient restoration and pest cycle break
Soybean,Laterite,Punjab,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Cotton,Alluvial,Punjab,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Lentil,Red,Tamil Nadu,Maize,Sugarcane,Legume-based nutrient restoration and pest cycle break
Maize,Black,Punjab,Black Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Mustard,Laterite,West Bengal,Chickpea,Groundnut,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Odisha,Wheat,Mustard,Legume-based nutrient restoration and pest cycle break
Sugarcane,Clayey,Uttar Pradesh,Soybean,Lentil,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,Punjab,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Green Gram,Sandy,Maharashtra,Mustard,Wheat,Legume-based nutrient restoration and pest cycle break
Mustard,Clayey,Odisha,Black Gram,Rice,Legume-based nutrient restoration and pest cycle break
Rice,Clayey,West Bengal,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Mustard,Sandy,Tamil Nadu,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Cowpea,Sandy,Punjab,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Groundnut,Laterite,Punjab,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Groundnut,Alluvial,West Bengal,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Maize,Black,Uttar Pradesh,Black Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,Maharashtra,Green Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Groundnut,Black,Punjab,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Potato,Alluvial,Maharashtra,Green Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Cowpea,Black,Punjab,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Black Gram,Red,Odisha,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Soybean,Laterite,Odisha,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Cowpea,Clayey,Uttar Pradesh,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Maize,Red,Punjab,Groundnut,Black Gram,Legume-based nutrient restoration and pest cycle break
Sugarcane,Black,Maharashtra,Groundnut,Black Gram,Legume-based nutrient restoration and pest cycle break
Green Gram,Laterite,Maharashtra,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Soybean,Sandy,Maharashtra,Mustard,Wheat,Legume-based nutrient restoration and pest cycle break
Groundnut,Black,Uttar Pradesh,Sugarcane,Wheat,Legume-based nutrient restoration and pest cycle break
Sunflower,Clayey,West Bengal,Lentil,Green Gram,Legume-based nutrient restoration and pest cycle break
Chickpea,Alluvial,West Bengal,Mustard,Cotton,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Red,West Bengal,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,Punjab,Cowpea,Wheat,Legume-based nutrient restoration and pest cycle break
Maize,Black,Odisha,Soybean,Green Gram,Legume-based nutrient restoration and pest cycle break
Wheat,Clayey,Punjab,Lentil,Soybean,Legume-based nutrient restoration and pest cycle break
Mustard,Black,Punjab,Rice,Groundnut,Legume-based nutrient restoration and pest cycle break
Groundnut,Black,Odisha,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Cotton,Black,West Bengal,Green Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Potato,Red,Maharashtra,Pigeon Pea,Cowpea,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Alluvial,Uttar Pradesh,Mustard,Cotton,Legume-based nutrient restoration and pest cycle break
Soybean,Red,West Bengal,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Maize,Black,Uttar Pradesh,Black Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Punjab,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,Punjab,Cowpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,Tamil Nadu,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,West Bengal,Green Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Maize,Alluvial,Tamil Nadu,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Cotton,Laterite,Uttar Pradesh,Chickpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Odisha,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Sunflower,Black,Odisha,Groundnut,Cotton,Legume-based nutrient restoration and pest cycle break
Rice,Black,Uttar Pradesh,Pigeon Pea,Green Gram,Legume-based nutrient restoration and pest cycle break
Maize,Black,Odisha,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Sandy,West Bengal,Maize,Mustard,Legume-based nutrient restoration and pest cycle break
Cotton,Sandy,Odisha,Green Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,Tamil Nadu,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Alluvial,West Bengal,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,West Bengal,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Maize,Black,West Bengal,Green Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Potato,Clayey,Uttar Pradesh,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Wheat,Sandy,Maharashtra,Lentil,Black Gram,Legume-based nutrient restoration and pest cycle break
Mustard,Red,Punjab,Rice,Cowpea,Legume-based nutrient restoration and pest cycle break
Soybean,Laterite,Uttar Pradesh,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Rice,Laterite,West Bengal,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Lentil,Sandy,Punjab,Mustard,Maize,Legume-based nutrient restoration and pest cycle break
Groundnut,Red,Punjab,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Cotton,Clayey,Maharashtra,Lentil,Green Gram,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,Punjab,Chickpea,Lentil,Legume-based nutrient restoration and pest cycle break
Potato,Alluvial,Maharashtra,Lentil,Black Gram,Legume-based nutrient restoration and pest cycle break
Cowpea,Laterite,Odisha,Rice,Sugarcane,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,Odisha,Sugarcane,Wheat,Legume-based nutrient restoration and pest cycle break
Sugarcane,Alluvial,Tamil Nadu,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Black Gram,Alluvial,Odisha,Mustard,Wheat,Legume-based nutrient restoration and pest cycle break
Sunflower,Black,Uttar Pradesh,Pigeon Pea,Cotton,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,Tamil Nadu,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,Punjab,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Groundnut,Red,Uttar Pradesh,Sugarcane,Maize,Legume-based nutrient restoration and pest cycle break
Mustard,Clayey,Tamil Nadu,Rice,Black Gram,Legume-based nutrient restoration and pest cycle break
Sugarcane,Alluvial,Maharashtra,Black Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Red,West Bengal,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Green Gram,Alluvial,Odisha,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Potato,Clayey,West Bengal,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Sandy,Maharashtra,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,West Bengal,Cowpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Rice,Sandy,West Bengal,Lentil,Green Gram,Legume-based nutrient restoration and pest cycle break
Wheat,Red,Punjab,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Mustard,Black,West Bengal,Pigeon Pea,Green Gram,Legume-based nutrient restoration and pest cycle break
Sunflower,Sandy,Uttar Pradesh,Rice,Cowpea,Legume-based nutrient restoration and pest cycle break
Soybean,Sandy,Punjab,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Maize,Clayey,Tamil Nadu,Soybean,Chickpea,Legume-based nutrient restoration and pest cycle break
Mustard,Sandy,West Bengal,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Wheat,Clayey,Uttar Pradesh,Soybean,Lentil,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,Maharashtra,Sugarcane,Wheat,Legume-based nutrient restoration and pest cycle break
Sunflower,Red,West Bengal,Pigeon Pea,Groundnut,Legume-based nutrient restoration and pest cycle break
Sugarcane,Sandy,Punjab,Cowpea,Chickpea,Legume-based nutrient restoration and pest cycle break
Cotton,Clayey,Maharashtra,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Red,Uttar Pradesh,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Cotton,Clayey,Tamil Nadu,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Cowpea,Black,West Bengal,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,Uttar Pradesh,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,Punjab,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Soybean,Sandy,Maharashtra,Cotton,Mustard,Legume-based nutrient restoration and pest cycle break
Maize,Black,West Bengal,Black Gram,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Sunflower,Sandy,West Bengal,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Cotton,Clayey,Uttar Pradesh,Green Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Black Gram,Clayey,Maharashtra,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Mustard,Sandy,Punjab,Wheat,Green Gram,Legume-based nutrient restoration and pest cycle break
Rice,Laterite,Punjab,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Maize,Alluvial,Tamil Nadu,Green Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Groundnut,Laterite,Tamil Nadu,Sugarcane,Rice,Legume-based nutrient restoration and pest cycle break
Maize,Clayey,Odisha,Black Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Red,Tamil Nadu,Sugarcane,Maize,Legume-based nutrient restoration and pest cycle break
Chickpea,Laterite,Maharashtra,Maize,Sugarcane,Legume-based nutrient restoration and pest cycle break
Green Gram,Alluvial,Uttar Pradesh,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Potato,Black,Maharashtra,Black Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Potato,Laterite,Odisha,Cowpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Potato,Clayey,West Bengal,Soybean,Chickpea,Legume-based nutrient restoration and pest cycle break
Groundnut,Black,Uttar Pradesh,Sugarcane,Maize,Legume-based nutrient restoration and pest cycle break
Sunflower,Black,West Bengal,Soybean,Groundnut,Legume-based nutrient restoration and pest cycle break
Maize,Red,Punjab,Pigeon Pea,Cowpea,Legume-based nutrient restoration and pest cycle break
Groundnut,Clayey,Maharashtra,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Cotton,Black,Maharashtra,Soybean,Black Gram,Legume-based nutrient restoration and pest cycle break
Groundnut,Laterite,Punjab,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Chickpea,Laterite,Odisha,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Green Gram,Laterite,Punjab,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Potato,Laterite,Odisha,Chickpea,Cowpea,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,Uttar Pradesh,Potato,Cotton,Legume-based nutrient restoration and pest cycle break
Maize,Sandy,Uttar Pradesh,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,Maharashtra,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Cowpea,Black,Uttar Pradesh,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Cowpea,Sandy,West Bengal,Maize,Mustard,Legume-based nutrient restoration and pest cycle break
Sugarcane,Sandy,Odisha,Cowpea,Chickpea,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,Tamil Nadu,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Sunflower,Clayey,Maharashtra,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Black Gram,Alluvial,West Bengal,Maize,Mustard,Legume-based nutrient restoration and pest cycle break
Black Gram,Alluvial,Uttar Pradesh,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,Odisha,Lentil,Rice,Legume-based nutrient restoration and pest cycle break
Wheat,Sandy,Uttar Pradesh,Lentil,Cowpea,Legume-based nutrient restoration and pest cycle break
Potato,Laterite,Maharashtra,Green Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Black Gram,Laterite,Maharashtra,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Mustard,Red,Odisha,Green Gram,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Cotton,Sandy,West Bengal,Cowpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,West Bengal,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Rice,Red,Odisha,Green Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Wheat,Clayey,Maharashtra,Chickpea,Lentil,Legume-based nutrient restoration and pest cycle break
Rice,Red,West Bengal,Green Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,West Bengal,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Potato,Laterite,Punjab,Chickpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Groundnut,Sandy,Uttar Pradesh,Mustard,Wheat,Legume-based nutrient restoration and pest cycle break
Rice,Alluvial,Odisha,Soybean,Chickpea,Legume-based nutrient restoration and pest cycle break
Potato,Red,Punjab,Cowpea,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Lentil,Clayey,West Bengal,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Mustard,Laterite,Tamil Nadu,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Potato,Red,Maharashtra,Pigeon Pea,Green Gram,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Clayey,Maharashtra,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Lentil,Laterite,Maharashtra,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Chickpea,Sandy,Tamil Nadu,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Cotton,Black,Uttar Pradesh,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Green Gram,Alluvial,Odisha,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,West Bengal,Chickpea,Cowpea,Legume-based nutrient restoration and pest cycle break
Lentil,Sandy,Tamil Nadu,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Groundnut,Sandy,Odisha,Mustard,Cotton,Legume-based nutrient restoration and pest cycle break
Maize,Sandy,West Bengal,Lentil,Green Gram,Legume-based nutrient restoration and pest cycle break
Black Gram,Red,Uttar Pradesh,Sugarcane,Wheat,Legume-based nutrient restoration and pest cycle break
Cowpea,Red,West Bengal,Rice,Sugarcane,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Uttar Pradesh,Mustard,Wheat,Legume-based nutrient restoration and pest cycle break
